interests,skills,personality,career_path
"drawing, psychology","wireframing, sketch, user research","visual, observant, empathetic",UI/UX Designer
"web apps, coding, problem solving, technology","git, javascript, node.js","analytical, problem solver",Software Engineer
"writing, behavioral psychology, socializing, trends","sem, google analytics, content marketing, pandas","creative, dynamic, outgoing",Digital Marketer
"user feedback, collaboration, business strategy, organizing","scrum, communication, product roadmap, analytics, data structures","adaptable, leader",Product Manager
"leadership, organizing, user feedback, business strategy","product roadmap, market research, analytics, communication, agile","communicative, adaptable",Product Manager
"design, art, drawing, human behavior","interaction design, user research, prototyping, sketch, wireframing","empathetic, visual, observant",UI/UX Designer
"system administration, cloud computing, automation, networking","cicd, aws, bash, docker, firewalls","logical, organized",DevOps Engineer
"optimization, data structure, system performance","postgresql, performance tuning, mysql, database design","organized, patient",Database Administrator
"business strategy, user feedback","agile, product roadmap, analytics, communication","adaptable, leader, communicative",Product Manager
"psychology, human behavior","interaction design, figma, wireframing, user research, sketch","creative, empathetic, observant",UI/UX Designer
"privacy, security, hacking","cryptography, penetration testing, linux, security audit","analytical, vigilant, detail-oriented",Cybersecurity Specialist
"drawing, art, design, human behavior","interaction design, figma, sketch, user research, prototyping","creative, visual",UI/UX Designer
"collaboration, leadership","analytics, communication, product roadmap","leader, adaptable",Product Manager
"optimization, system performance, organization","performance tuning, sql, mysql, postgresql","organized, meticulous, patient",Database Administrator
"coding, technology, open source","algorithms, node.js, react","detail-oriented, problem solver",Software Engineer
"collaboration, user feedback, business strategy","scrum, market research, communication, agile","leader, decisive, communicative",Product Manager
"investigation, security, privacy","security audit, networking, cryptography, firewalls","analytical, skeptical, detail-oriented",Cybersecurity Specialist
"writing, trends, advertising","copywriting, content marketing, seo, social media, google analytics","persuasive, creative",Digital Marketer
"psychology, design","prototyping, interaction design, sketch, figma","empathetic, visual, observant",UI/UX Designer
"privacy, security","security audit, linux, cryptography, firewalls, penetration testing","detail-oriented, analytical",Cybersecurity Specialist
"psychology, design","user research, figma, prototyping, wireframing","observant, visual",UI/UX Designer
"security, privacy","security audit, networking, linux","analytical, skeptical",Cybersecurity Specialist
"behavioral psychology, socializing, writing","sem, copywriting, social media","creative, dynamic",Digital Marketer
"design, human behavior, psychology","sketch, figma, prototyping","observant, empathetic",UI/UX Designer
"design, human behavior, art, psychology","user research, wireframing, sketch, interaction design, prototyping","creative, empathetic",UI/UX Designer
"organization, system performance, optimization, data structure","sql, database design, performance tuning, mysql, postgresql, networking","logical, patient, organized",Database Administrator
"networking, system administration","aws, cicd, bash, jenkins","systematic, organized, logical",DevOps Engineer
"leadership, collaboration","product roadmap, market research, scrum, agile, communication, git","decisive, leader, communicative",Product Manager
"problem solving, web apps","python, git, react","detail-oriented, analytical",Software Engineer
"cloud computing, automation, system administration, networking","kubernetes, jenkins, aws","systematic, organized",DevOps Engineer
"organizing, user feedback","agile, product roadmap, scrum, communication","decisive, adaptable, leader",Product Manager
"statistics, math, research, puzzles","pandas, python, numpy","logical, researcher",Data Scientist
"system performance, optimization","backup recovery, sql, performance tuning","patient, meticulous",Database Administrator
"web apps, coding","git, python, algorithms","detail-oriented, problem solver",Software Engineer
"puzzles, statistics, research, math","pandas, machine learning, numpy, statistics, data visualization","curious, analytical, logical",Data Scientist
"human behavior, drawing, psychology","figma, sketch, wireframing, user research, interaction design","observant, empathetic, visual",UI/UX Designer
"collaboration, organizing, business strategy","product roadmap, communication, market research, analytics, agile","leader, adaptable, decisive",Product Manager
